SiteID,X,Y,Location
118,317263,231944,MOREHAMPTON RD HERBERT PK
119,315407,237120,MOBHI ROAD BOTANIC AVENUE
120,317241,233369,MOUNT ST BRIDGE WARRINGTON PL
121,316064,235556,MOUNTJOY SQUARE BELVEDERE PLACE
122,315315,235230,MOUNTJOY ST WESTERN WAY
123,315951,231758,MOUNTPLEASENT AV CHARLESTON RD
124,310474,231997,NAAS RD KYLEMORE RD
125,312666,236290,NAVAN RD NEPHIN RD
126,315128,233640,BULL ALLEY ST NICHOLAS STREET BRIDE ROAD
127,314842,235872,NORTH CIRCULAR ROAD CABRA ROAD
128,315942,235743,NORTH CIRCULAR ROAD BELVEDERE ROAD
129,316239,235647,NORTH CIRCULAR ROAD FITZGIBBON ST
130,313378,234887,NCR INFIRMARY RD
131,313112,239100,NORTH RD MELLOWES RD
132,317281,235971,NORTH STRAND RD EAST WALL RD
133,317412,233193,NORTHUMBERLAND RD HADDINGTON RD
134,317596,232750,NORTHUMBERLAND ROAD PEMBROKE ROAD
136,315401,229912,ORWELL RD ORWELL PK
137,316017,231457,PALMERSTON RD BELGRAVE RD
138,313600,234447,INFIRMARY ROAD  PARKGATE STREET
139,314359,232485,PARNELL ROAD CLOGHER ROAD
140,315668,235188,PARNELL SQUARE NORTH FREDERICK ST
141,316094,235182,PARNELL STREET SUMMERHILL
142,315114,233450,DEAN STREET
143,316942,233976,PEARSE ST ERNE ST
144,317203,233928,PEARSE ST MACKEN ST
145,316812,234013,PEARSE ST SANDWITH ST SANDWITH ST UPPER
146,316616,234077,PEARSE ST WESTLAND ROW LOMBARD ST
147,317831,232475,PEMBROKE ROAD SHELBOURNE ROAD
148,315022,236073,PHIBSBORO ROAD CONNAUGHT ST
149,315022,235883,PHIBSBORO ROAD NORTH CIRCULAR ROAD DOYLES CORNER
150,315071,236318,PHIBSBORO ROAD WHITWORTH ROAD
151,313993,235469,NCR  PRUSSIA ST
152,314568,234312,QUEEN STREET BRIDGE  QUEEN STREET
153,316379,231913,RANELAGH FIELDS TERRACE
155,315050,230460,ORWELL ROAD RATHGAR ROAD TERENURE ROAD
156,315310,231039,RATHGAR RD FRANKFORT AV
157,315667,232449,RATHMINES ROAD CANAL ROAD RATHMINES BRIDGE
158,315604,231643,RATHMINES ROAD CASTLEWOOD AVENUE
159,315793,230601,RATHMINES RD HIGHFIELD RD DARTRY RD
160,317841,233808,RINGSEND RD SOUTH LOTTS RD
161,320076,237587,HOWTH RD KILLESTER CHURCH
162,315466,237877,ST MOBHI RD GRIFFITH AV
163,316129,233181,ST STEPHENS GREEN  EARLSFORT TCE
164,315770,233320,SAINT STEPHENS GREEN  HARCOURT STREET
165,317204,231240,SANDFORD ROAD  MILLTOWN ROAD & PED
166,316154,235049,GARDINER STREET  SEAN MACDERMOTT STREET
167,317828,232953,SHELBOURNE ROAD  LANDSDOWNE ROAD
168,317574,234769,SHERIFF STREET  WAPPING STREET
170,314387,232615,SOUTH CIRCULAR ROAD DONORE AVENUE
171,312772,233588,EMMET ROAD  SOUTH CIRCULAR ROAD
172,312752,233912,SOUTH CIRCULAR ROAD  ST JOHNS ROAD
173,315575,233745,GEORGES STREET  STEPHENS STREET
174,317874,231329,STILLORGAN ROAD  ANGLESEA ROAD
175,318488,230748,STILLORGAN ROAD NUTLEY LANE
176,312870,233141,SUIR ROAD  DAVITT ROAD
177,313534,231945,SUNDRIVE ROAD  CLOGER ROAD
178,316554,235506,NORTH CIRCULAR ROAD  SUMMERHILL
179,316862,238353,SWORDS ROAD  COLLINS AVE
180,316875,238918,SWORDS RD LARKHILL RD
181,316720,239166,SWORDS RD SHANOWEN RD
182,316274,234795,GARDINER STREET TALBOT STREET
183,316234,234430,TARA STREET GEORGE'S QUAY
184,316230,234368,TARA STREET POOLBEG STREET
185,316233,234265,TARA STREET TOWNSEND STREET
187,314461,230214,TERENURE CROSS
188,316431,234257,TOWNSEND STREET MOSS STREET
189,311392,232827,TYRCONNELL RD DAVITT RD
190,314328,234343,WATLING STREET  BRIDGE
191,316540,233840,WESTLAND ROW LINCOLN PLACE
192,315558,233317,WEXFORD ST KEVIN ST
193,315127,234119,WINETAVERN STREET  WOOD QUAY
194,317205,235793,NORTH STRAND RD ANNESLEY PLACE
196,315977,234356,O'CONNELL BRIDGE ASTON QUAY
197,315958,234447,BACHELORS WALK
198,315935,234529,ABBEY ST O'CONNELL ST
199,315891,234678,HENRY STREET EARL STREET
200,315824,234926,O'CONNELL STREET CATHAL BRUGHA STREET
201,315805,234990,O'CONNELL STREET PARNELL STREET
202,315715,234908,PARNELL STREET PARNELL SQUARE DOMINICK STREET
203,316622,235028,AMIENS ST AT BUCKINGHAM ST
204,319134,238834,ARDLEA ROAD  SCHOOL
205,315551,233538,AUNGIER ST YORK ST
206,316509,233344,BAGGOT STREET  PEMBROKE STREET
207,316839,235785,BALLYBOUGH ROAD  BAYVIEW AVENUE
208,316756,235698,BALLYBOUGH ROAD  CANAL BRIDGE
209,309261,233755,BALLYFREMOT RD  DRUMFIN ROAD
210,309400,233730,BALLYFERMOT RD  GALA
211,309499,233722,BALLYFERMOT WEST OF RBT  ROUNDABOUT
212,314761,238177,BALLYGALL RD EAST HILLCREST ESTATE
213,313969,239167,BALLYGALL RD WEST GROVE RD
214,315080,239130,GLASNEVIN AV GLASNEVIN DRIVE
215,315565,239359,BALLYMUN RD ST MICHAELS (OOT)
216,315202,236770,BOTANIC ROAD MARGUERITE
218,318057,233835,BRIDGE ST RINGSEND CHURCH
219,315470,238946,BALLYMUN RD SCHOOL
220,315602,233080,CAMDEN ST PLEASANTS ST
221,312321,238611,CARDIFFSBRIDGE RD WELLLMOUNT AVE
222,310842,234230,Chapelizod Road  Park Gate
223,321057,236039,CLONTARF RD BULL WALL
224,320572,235786,CLONTARF RD CONQUER HILL RD
226,315957,234092,COLLEGE GREEN GRAFTON STREET
229,315975,234202,COLLEGE GREEN WESTMORELAND STREET
230,315997,234184,COLLEGE STREET COLLEGE GREEN
232,316095,234261,D'OLIER STREET FLEET STREET
233,315797,238953,Collins Avenue  Albert Green Park
234,316498,238564,Collins Avenue  Falcarrag Road
235,314770,236118,Connaught Street  St. Peters Road
236,314507,233365,CORK ROAD ORMOND ROAD
237,313430,232445,CRUMLIN RD LORETO CONVENT
238,313255,232347,CRUMLIN RD SHOPPING CENTRE
242,315764,235297,DENMARK ST NORTH GREAT GEORGES
243,317554,231642,DONNYBROOK RD GARDA STATION
246,316256,231503,DUNVILLE AVE BEECHWOOD (LUAS)
247,317475,235735,EAST WALL RD FOOTBRIDGE
248,317221,236156,FAIRVIEW STRAND PHILIPSBURG AVE
249,314480,237001,FINGLAS RD CLAREMONT COURT
250,315082,236455,FINGLAS RD (OOT) LINDSAY RD
253,315533,235096,GRANBY ROW PARNELL SQUARE
254,317167,233584,GRAND CANAL ST MACKEN ST
255,316203,237681,GRIFFITH AV CLARE RD
256,317762,236954,GRIFFITH AV ST DECLAN TERRACE
257,315724,233086,HARCOURT ST CAMDEN PLACE PED (LUAS)
258,314883,232294,HAROLDS CROSS RD LE VERE TERRACE
259,314717,231671,HAROLDS CROSS RD PARK VIEW AV
260,315360,233086,HEYTESBURY ST HOSPITAL
261,319509,237125,HOWTH RD DUNSEVERICK RD
262,322208,238210,HOWTH RD ST ASSAMS RD EAST
263,322447,239407,KILBARRACK RD SWANSNEST AV
264,318825,238880,KILMORE RD ARDLEA RD
265,312617,231785,MOUNT ARGUS PED
266,309693,233194,LE FANU RD KYLEMORE AV
268,316261,232977,LEESON STREET LOWER PEMBROKE STREET HATCH STREET
269,316418,233085,CLARE ST  LINCOLN PLACE
271,318414,237356,MALAHIDE RD  DONNYCARNEY ROAD
272,315856,234080,DAME STREET  CHURCH LANE
274,314389,233621,MARROWBONE LANE  SUMMER ST
275,319454,231173,MERRION RD  HERBERT AVENUE
276,316837,230551,MILLTOWN  SCHOOL
277,317264,231940,MOREHAMPTON RD  NR HERBERT PK
279,312302,236484,NAVAN RD  CHURCH (NEAR BAGGOT ROAD)
280,315088,233165,NEW STREET  LONG LANE
281,317146,235684,NORTH STRAND PEDESTR  AT IVY CHURCH
282,316965,235479,NORTH STRAND RD  NEWCOMEN BRIDGE
285,315700,234340,HALFPENNY BRIDGE  NORTH QUAYS  MILLENIUM (NORTH)
286,316002,235136,PARNELL STREET  AT HILL STREET
288,316429,234133,PEARSE STREET  SHAW STREET
290,315002,235646,PHIBSBORO RD  MONCK PL
291,317293,237061,PHILISBURGH AV @ SHOPS
292,321850,239308,RAHENY RD SWANSNEST RD
295,315613,231821,RATHMINES RD LEINSTER RD
297,315657,232623,RICHMOND ST SOUTH LENNOX ST
298,315500,237526,MOBHI ROAD  SCOIL CAITRIONA
301,316234,233443,ST STEPHENS GREEN  NTH EAST CORNER SUMMERHILL
302,316807,231630,SANDFORD ROAD  MARLBORO ROAD
303,318890,232855,SANDYMOUNT RD  SHOPS
304,312769,233629,SCR RIALTO BRIDGE
305,315632,233928,GEORGES ST  EXCHEQUER ST
308,313805,231141,SUNDRIVE RD  BLARNEY PK
309,313585,231815,SUNDRIVE RD  CONVENT
311,313577,229282,TEMPLEOGUE RD  FORTFIELD RD
312,314514,230744,TERENURE RD NTH  ASHDALE RD
313,314728,233882,THOMAS ST  JOHNS LANE
314,320200,239191,TONLEGEE RD @ SHOPS
316,310846,231223,WALKINSTOWN AV  WALKINSTOWN GREEN
318,316590,233995,WESTLAND ROW  STH OF PEARSE ST
319,310024,233645,BALLYFERMOT STH OF RBT  ROUNDABOUT
320,310000,233817,BALLYFERMOT NRTH OF RBT  ROUNDABOUT
322,310261,232456,KYLEMORE RD  BLUEBELL AV
323,319534,238464,MALAHIDE ROAD  BRENDANS AVE
324,315274,233643,BRIDE STREET  GOLDEN LANE
325,312715,232138,CRUMLIN RD  IVY GARDENS
326,312902,232208,CRUMLIN RD  IVY GROUNDS
327,314014,237750,FINGLAS RD  OLD FINGLAS RD
328,315961,233966,GRAFTON ST  SUFFOLK ST
329,317330,231097,Clonskeagh Road  Hospital
330,316059,232294,RANELAGH ROAD  NORTHBROOK ROAD
331,318973,237942,MALAHIDE RD  KILLESTER AV(ST DAVIDS)
332,316714,237986,SWORDS ROAD  PLUNKETT SCHOOL
333,312480,233052,FOOTBRIDGE  BENBULBIN DAVITT RD
334,316738,236050,CLONLIFFE ROAD  CLONLIFFE GARDENS
335,314757,237936,GRIFFITH AV EXT  BALLYGALL RD EAST
336,314928,234460,CHURCH ST  MAY LANE
337,315839,232649,CHARLEMONT ST  FLATS
340,313719,238230,FINGLAS RD  PREMIER DAIRIES (ITT)
341,313709,238292,FINGLAS RD  PREMIER DAIRIES (OOT)
342,317110,231342,SANDFORD RD  BELMONT AV
343,312728,234157,SOUTH CIRCULAR ROAD  ISLANDBRIDGE @ FLATS  @FLATS
344,314335,235903,CABRA RD  DOWTH AV
345,316233,234196,PEARSE STREET  TARA STREET
346,316188,236793,DRUMCONDRA RD  ST PATRICKS COLLEGE
347,315086,236450,PROSPECT RD  LINDSAY RD (ITT)
348,308685,233820,BALLYFERMOT ROAD CLEGGAN PARK
349,316962,232087,CLOGHER ROAD  RUTLAND AV
351,314963,234768,CHURCH ST  BRUNSWICK ST
352,316078,233923,DAWSON ST  NASSAU ST
353,316448,234627,BERESFORD PLACE PED
354,316434,234645,BERESFORD PLACE  MEMORIAL ROAD AMIENS STREET
355,316468,234534,CUSTOM HOUSE QUAY  MEMORIAL BRIDGE MEMORIAL ROAD
356,316427,234420,MEMORIAL BRIDGE  GEORGE'S QUAY
358,315032,234983,CONSTITUTION HILL  @ FLATS
359,313478,233714,MOUNT BROWN  CAMAC STORES
360,316014,233537,ST STEPHENS GREEN  DAWSON ST
361,315444,237986,BALLYMUN RD  ST MOBHI ROAD (ITT)
362,315655,232305,RATHMINES ROAD  CHURCH
363,315634,232128,RATHMINES RD  MILITARY RD
366,314655,233881,THOMAS STREET  MEATH STREET  JOHN'S LANE
367,314901,233938,BRIDGE ST  CORNMARKET
368,314854,233911,THOMAS ST  FRANCIS ST
369,314521,233917,THOMAS STREET BRIDGEFOOT STREET
370,313824,234220,ST JOHNS RD WEST STEEVENS LANE
371,312319,238655,CARDIFFSBRIDGE RD  SHOPPING CENTRE
372,311991,233668,INCHICORE RD  GRATTAN
374,311535,233008,TYRCONNELL RD  RING TERRACE
375,318434,232037,MERRION RD ALLIED IRISH BANKS
377,321458,238368,STATION RD  RAILWAY BRIDGE
378,316390,230076,MILLTOWN RD  CHURCHTOWN RD
379,311921,231805,DRIMNAGH RD  ERRIGAL RD
380,320876,239360,TONLEGEE RD  TONLEGEE AV
381,319475,239457,OSCAR TRAYNOR RD COOLOCK DRIVE
382,315121,237584,OLD FINGLAS RD HOLY FAITH CONVENT
383,318173,232299,MERRION ROAD SERPENTINE AV & PED
384,321247,239403,TONLEGEEE RD MILLBROOK RD
386,318898,239790,OSCAR TRAYNOR RD KILMORE RD
387,314748,233554,MEATH ST THE COOMBE
388,318449,240036,OSCAR TRAYNOR CLONSHAUGH INDUS EST
390,312171,231830,CRUMLIN RD KILDARE RD
391,316945,230835,MILLTOWN ROAD RAMLEH PARK
394,314450,229898,RATHFARNHAM RD BUSHY PARK RD
395,312261,231949,CRUMLIN ROAD COOLEY ROAD
396,311576,236794,NAVAN ROAD ASHTOWN GROVE
397,313866,233950,JAMES STREET STEEVENS LANE  BOW LANE
399,314278,233949,JAMES ST WATLING ST
402,315885,233587,ST STEPHENS GREEN GRAFTON ST
