SiteID,X,Y,Location
572,,,Grange Rd @ Clare Hall (N32 Link)(REMOVED - roundabout installed)
573,311368,232722,NAAS ROAD PED @THE PARK (LUAS)
574,,,Clogher Rd @ Pearse College
575,321568,238983,RAHENY ROAD GRANGE PARK ROAD
576,,,Palmerston Rd @ Cowper Rd
577,316254,231503,DUNVILLE AVE BEECHWOOD (LUAS)
578,312769,239079,MELLOWS ROAD SWIMMING POOL
579,,,Tolka Valley Rd @ St Helena's Rd
580,,,Tolka Valley Rd @ Cardiffisbridge Rd
582,314855,234024,COOK ST BRIDGE ST
583,,,Beaver Row @ Beech Hill Av
584,318120,234713,EAST WALL ROAD SHERRIF STREET
585,,,Grange Rd @ Donaghmede Shopping Centre
586,318845,237852,MALAHIDE ROAD ELM MOUNT
587,,,Walkinstown R'about @ Kestral
588,314381,230175,TERENURE ROAD WEST TEMPLELOGUE ROAD
589,,,Pembroke St @ Irishtown Rd
590,,,Grange Rd @ Community School
591,318988,238378,KILMORE ROAD MARYFIELD
592,,,Balcurris Rd /Sillogue Ped
593,318252,236016,ALFIE BYRNE ROAD DART STATION
594,318040,236746,MALAHIDE ROAD BRIAN ROAD
595,,,Blackhorse Ave @ Glenbeigh Rd
596,316806,237449,GRIFFITH AVENUE BERESFORD ESTATE
597,311577,236796,NAVAN ROAD ASHTOWN GROVE
598,319001,233082,STRAND RD MARINE DRIVE
599,,,Terenure Pl @ Templeogue Rd
600,318226,235030,EAST WALL ROAD PORT ENTRANCE
601,,,Navan Rd @ Ashtown R'about
602,,,Glasnevin Ave @ Laneway
603,319541,238494,N-SOUTH ROUNDABOUT  ARDLEA RD
604,319450,238506,MALAHIDE ROAD ARDLEA RD EAST/ WEST
605,316804,238188,SWORDS ROAD IVERAGH ROAD
606,313104,232287,CRUMLIN ROAD ARDAGH ROAD
607,,,Blackhorse Ave @ Turnstyle Pub
608,,,Malahide Rd @ St Brendans Church
609,,,Grange Rd @ Railway Bridge (Removed)
610,316995,232257,MOREHAMPTON ROAD WELLINGTON PLACE
611,318729,239907,OSCAR TRAYNOR RD CLONSHAUGH RD
612,315673,234464,ABBEY LIFFEY
613,316491,232576,LEESON STREET DARTMOUTH ROAD
614,316722,232419,LEESON STREET BURLINGTON BUS GATE
615,317825,231373,EGLINGTON ROAD  DONNYBROOK RD
616,,,Kilbarron Rd @ Trim Rd
617,,,Tonlegee Rd / Moatfield Rd
618,316505,231836,RANELAGH
619,311853,231969,ERRIGAL ROAD BRANDON ROAD ERRIGAL GARDENS
620,,,Wellington Rd @ Clyde Rd
622,315560,233662,AUNGIER ST LONGFORD ST
623,315484,231504,RATHGAR RD GROSVENOR ROAD
624,315960,237747,GRIFFITH AVENUE WALNUT RISE
625,315731,234253,SOUTH QUAYS  MILLENIUM BRIDGE(S)  HALFPENNY BRIDGE(S)
626,322974,239239,KILBARRACK RD THORNVILLE RD
627,319549,236431,CASTLE AVENUE
628,314215,235033,PRUSSIA STREET  AUGHRIM PED
629,312400,232021,CRUMLIN ROAD  RAFTERS ROAD
630,321693,236747,CLONTARF RD  MT PROSPECT AVE
631,320215,236722,VERNON AVE MOUNT PROSPECT AVE
632,320231,236947,VERNON AVE SYBIL HILL RD
633,320178,236192,VERNON AVENUE KINCORA RD
634,,,Grange Rd @ Grange Abbey
635,323100,240233,N32 BALDOYLE BRIDGE
636,319592,231469,STRAND RD ST ALBANS PK
637,313444,232566,KEEPER RAOD HERBERTON ROAD
638,313449,231376,STANNAWAY BANGOR
639,320397,239286,TONLEGEE RD SPRINGDALE RD
640,316155,238761,COLLINS AVE DCU
641,313784,229506,TERENURE COLLEGE TEMPLEOGUE ROAD
642,314177,229938,TEMPLEOGUE BUS GATE
644,315957,234088,DAME STREET NORTH GRATTAN
647,,,NCR @ O'Connells School
648,317844,232755,SHELBOURNE CRAMPTON
649,318386,238607,SKELLY'S LANE WHITETHORN ESTATE
650,316860,230614,MILLTOWN ST ANNES
651,311355,233730,SARSFIELD LANDEN
652,,,Ballygall Rd East @ Church
653,315124,233739,NICHOLAS STREET BULL ALLEY
654,311568,233710,SARSFIELD ROAD RAILWAY BRIDGE COLBERT ROAD
655,318899,236017,CLONTARF ROAD SEAVIEW ROAD
656,317829,237930,COLLINS AVENUE CELTIC PARK
658,,,Ringsend @ Barrow St
659,317029,237616,GRACE PARK RD SION HILL RD
660,317176,234470,NORTH WALL GUILD STREET
661,,,Emmet Rd @ Luby Rd
662,315654,233506,YORK STREET  MERCER STREET
663,315678,233570,MERCER STREET  GLOVER'S ALLEY  CAR PARK
664,313519,234179,ST JOHNS RD MILITARY RD
665,315266,233970,DAME STREET  FISHAMABLE STREET
666,315523,234050,DAME STREET OLYMPIA
667,313159,236033,NAVAN RD LIBRARY
668,315726,233197,HARCOURT ST. MONTAGUE ST PED
670,,,Ratoath Rd @ John Paul Park
671,,,Drumcondra Rd @ Botanic Ave
672,,,Glasnevin Ave @ Autobahn
675,318563,230829,RTE NUTLEY
676,,,Coldcut Rd @ Clover Hill Rd
677,318182,234887,EAST WALL ROAD ALEXANDRA ROAD
679,311508,231772,DRIMNAGH ROAD BALFE ROAD
680,319826,237277,OSCAR TRAYNOR COOLOCK VILLAGE
682,,,North King St @ Colraine/Linnenhall
684,314501,230232,TERENURE RD EAST BUSGATE
686,315702,231151,RATHMINES ROAD COLLEGE/WILLIAMSPARK
687,,,Old Finglas Rd @ St. Brigids School
688,,,Blunden Drive @ Ayrfield Church
689,,,Newbrook Rd @ Newbrook Ave
690,315148,237565,GLASNEVIN HILL BALLYMUN RD OLD FINGLAS RD
691,316642,237856,SWORDS ROAD REGENCY
692,310124,233196,KYLEMORE RD LANDEN RD
693,314021,230261,TERENURE RD WEST GREENLEA RD
694,,,Brookwood Ave @ Brookwood Rise
695,,,Sybil Hill Rd @ St Pauls School
696,,,Vernon Ave @ Blackheath
697,,,Castle Ave @ Blackheath
699,314637,231770,HAROLDS CROSS RD MOUNT ARGUS RD
700,,,Fassaugh Ave / Killala Rd
701,318341,237239,MALAHIDE ROAD CASINO
702,,,Bushy Park Rd @ Riverside Ave
703,,,Mobhi Rd @ Stella Ave
704,315444,237240,MOBHI ROAD ST MOBHI DRIVE
705,311980,238280,RATHOATH ROAD  VALLEY PARK ROAD
706,,,Londonbridge Rd @ Shuttle
707,,,Richmond Villa's @ South Richmond St
708,316977,234993,SEVILLE PLACE  ORIEL STREET
709,317212,236679,PHILIPSBURGH AVE FOYLE RD (SHUTTLE)
710,315517,234344,JERVIS STREET  STRAND STREET  SWIFTS ROW
711,315374,234307,CAPEL STREET  STRAND STREET
712,,,Philipsburgh Ave @ Melrose Ave
713,,,BALLYMUN M50 (NO SITE)
714,,,Portland Row @ Dunne St
715,,,Glasnevin Hill @ Church
716,311839,239144,RATOATH RD CAPPAGH RD
717,,,(NO SITE)
718,316008,235353,MOUNT JOY SQ WEST GREENVILLE ST
719,,,Santry Lane @ McInerney's Site ( Removed 02-03-04)
720,314966,233513,COOMBE
721,,,M1 @ Whitehall Church (Removed May 02)
722,315910,232786,ADELAIDE RD PETER PLACE (LUAS)
723,,,Ailesbury Rd @ Church
724,318996,233684,SEAN MOORE ROAD PINE ROAD
725,,,Pidgeon House Rd @ East Link
726,315538,240125,BALLYMUN RD COULTRY GARDENS CHURCH
727,321145,240750,MALAHIDE ROAD  N32  CLARE HALL
728,,,Richmond Rd @ Grace Park Rd
729,314648,233400,CORK STREET ARDEE STREET
730,,,Faussagh Ave @ Church
731,,,Faussagh Rd @ GAA Club
733,314208,233248,CORK STREET DONORE AVENUE
734,317700,235740,ALFIE BYRNE ROAD EAST PT BUSINESS PK
735,,,Malahide Rd @ Grove Lane
736,,,Brookwood Ave
737,,,Brookwood Rise
738,311429,232900,TYRCONNEL JAMESTOWN RD
739,,,Irishtown Rd  @ Health Centre
740,,,Grace Park Rd @ Rosmini
741,314619,234655,NORTH KING STREET QUEEN STREET GEORGES LANE
742,314607,234736,BRUNSWICK STREET GEORGES LANE GRANGEGORMAN
743,314454,234530,BLACKHALL PLACE BLACKHALL STREET
744,315958,233250,ST STEPHENS GREEN  SOUTH (PED)
745,315507,239765,BALLYMUN RD SHANGAN RD
746,316982,234484,CUSTOM HOUSE QUAY EXCISE WALK
747,321477,238067,WATERMILL MAIN ST - RAHENY
748,326679,238225,HOWTH ROAD ST ASSAMS ROAD WEST
749,,,SCR @ Bloomfield Ave
750,316154,236657,BOTANIC CIAN PARK DRUMCONDRA
751,314653,232595,SCR WASHINGTON ST
752,,,BALLYFERMOT RD LE FANN RD (NO SITE)
753,314596,234511,QUEEN STREET BLACKHALL STREET
754,,,CORK ROAD COOMBE ROAD (NO SITE)
755,315506,239764,BALLYMUN RD SILLOGE RD
756,309542,233716,BALLYFERMOT RD LE FANN RD
757,,,BRUNSWICK STREET PED
758,316441,232749,LEESON ST BRIDGE  FITZWILLIAM PLACE ADELAIDE ROAD
759,314264,235466,CORK ROAD BRABAZAN ROAD (NO SITE)
760,314436,234248,BLACKHALL BRIDGE STH USHERS ISLAND
761,314434,234331,BLACKHALL PLACE  ELLIS QUAY BRIDGE
762,,,Ballyfermot Rd @ De La Salle School
763,,,BALLYMUN ROAD
764,316208,233060,LEESON ST. C.U.S
765,,,Mount St @ Love Lane
766,,,Edenmore Village @ Shops
767,311256,231691,LONGMILERD @ SCHOOLS
768,311637,232873,DAVITT (LUAS) LANSDOWNE VALLEY
769,311437,232830,DAVITT KILWORTH (LUAS)
770,312130,232973,DAVITT SPERRIN
771,313906,233897,JAMES STREET STEEVENS LANE
772,313924,234434,BENBURB TEMPLE ST WEST
773,314574,234358,BENBURB ST. QUEEN ST.
774,314681,234357,SMITHFIELD PHOENIX ST.
775,314776,234328,BOW ST CROSSING
776,314912,234350,CHURCH ST CHANCERY ST
777,315072,234322,CHANCERY STREET CHANCERY PLACE
778,315238,234356,CHANCERY STREET ARRAN STREET EAST
780,,,Adelaide Rd @ Hospital
781,316592,230113,MILLTOWN ALEX COLLEGE (LUAS)
782,315915,234598,O'CONNELL ST PRINCE'S ST NORTH
783,308883,231027,NAAS RD CROSSING TURNPIKE.
785,,,N32 @ Bewleys
786,,,Templeogue Rd @ Lakeland Pk
787,,,Coolock Village @ Ulster Bank
788,,,Galtymore @ The Shops
789,,,Gilford Rd Ped
790,,,Sandymount Rd Ped
791,318607,236638,HOWTH ROAD HOLLYBROOK PARK
792,,,Wellmount Rd @ St Michaels School
793,315306,234145,ESSEX QUAY PED
794,,,Kilbarrack Rd @ The Dart Station
795,,,Chapelizod Village @ The Esso Station
796,316091,234494,EDEN QUAY MARLBORO STREET
797,321108,240694,MALAHIDE ROAD TESCO
798,312171,237970,RATOATH RD BALLYBOGGAN RD
799,310176,232925,KYLEMORE RD JAMESTOWN RD(ACCESS)
800,309601,232662,PARK WEST KILLEEN
801,316184,233324,ST STEPHENS GREEN EAST HUME ST PED
802,,,Collins Ave @ Clanawley Rd
803,,,Priorswood Rd @ Buttercup Park
804,,,Kilmore Rd / Pinebrook Rd
805,,,Springdale Rd @ St Josephs Hospital
806,318953,231178,NUTLEY LANE ST VINCENTS HOSPITAL
807,,,City Quay  Lombard St
808,316654,234513,CUSTOM HOUSE QUAY DOCKLANDS PED
809,,,Vernon Ave @ CRC
810,,,Cardiffsbridge Rd @ Deanstown Ave
811,320680,237868,HOWTH ROAD ENNAFORT PARK
812,318942,231496,MERRION ROAD SYDNEY PARADE AVENUE
813,,,Park West Ave @ Park West
814,,,Bunratty Rd @ Civic Centre
815,,,McKelvey Rd /St Margarets Rd
816,318481,235289,DPT 1 BOND ROAD
817,318290,235023,DPT 2 T-JUNC AT BRIDGE
818,318517,234998,DPT 3 TOLL PLAZA-PORT ENT
819,,,Grand Canal St @ Barrow St
820,,,Glin Rd @ Macroom Rd
821,313568,239788,JAMESTOWN RD  SYCAMORE RD
822,,,N32 CLONSHAUGH ROAD (OUTSIDE BOUNDARY)
823,,,(NO SITE)
824,,,(NO SITE)
825,,,(NO SITE)
826,,,Ballyfermot Rd @ Lidl
828,315522,239633,BALLYMUN RD CIVIC OFFICES
829,313205,238882,FINGLAS RD CHURCH ST
830,316916,238189,SWORDS RD WHITEHALL CHURCH
832,317085,236107,FAIRVIEW STRAND RICHMOND RD
833,,,Pearse St @ Bolands Bridge Ped
834,317278,240158,COOLOCK RAMP M1
835,317172,240015,SWORDS RD M1
836,,,Waterloo Rd @ Burlington Rd
838,,,St Johns Rd @ Heuston S.Q.
839,,,Clontarf Rd @ Dollymount Park
840,,,Capel St @ Mary St
841,,,Blunden Drive @ Darndale Roundabout
842,315416,235850,North Circular Road @ Garda Station
843,,,Conyngham Rd @ Phoenix Park
844,,,Herbert Park @ The Park
845,,,Highfield Rd @ the church
846,,,Anglesea Rd Ped
848,319809,230860,ROCK ROAD  Elm Park
849,,,Ranelagh Rd @ Luas Station
850,,,East Rd @ Church Rd
851,,,Darndale @ Community Centre
852,,,Berkley St @ Nelson St
853,,,Collins Ave East @ Clancarthy Rd
854,,,Merrion Road @ Merlyn Drive
855,,,Seville Place @ Ferrymans Crossing
856,,,Guild St @ Sheriff St
857,,,Coolock Lane Pedestrian Crossing
858,,,Oscar Traynor Rd @ Larch Hill Estate
859,,,Hole in the Wall Road @ Clongriffen Road
860,,,Mayor Street @ Commons Street
861,,,Mayor Street @ Guild Street
862,,,Mayor Street @ National Conference Ct
863,,,Mayor Street @ Spencer Dock West
864,,,Mayor Street @ Spencer Dock East
865,,,Mayor Street @ New Wapping St
866,,,Mayor Street @ Castleforbes Rd
867,,,Mayor Street @ The Point
868,,,Sir John Rogersons Quay @ Macken St Bridge
872,,,Hole in the Wall Road @ Father Collins Park
873,,,North Wall Quay @ Spencer Dock
874,,,Clonshaugh Rd Pedestrian Crossing
875,,,Malahide Road @ Belmayne
876,,,Main St Chapelizod
877,,,Kylemore Rd @ Canal Bridge
878,,,Balbutcher Lane South/Carrig Rd
879,,,North King St@Red Cow Lane Ped
880,,,Raheny Rd @ Belmont Park
882,,,Baggot St @ Herbert Place
883,,,Charlemont St @ Charlemont Mall
884,,,NCR @ Marlborough Rd
885,,,Eccles St @ The Hospital
892,,,Clanbrasil St @ Lombard St West
900,317810,232490,SHELBOURNE ROAD  HERBERT PARK  CLYDE ROAD (NO SITE)
901,,,ABBEY ST **BACKUP** MARLBORO **BACKUP** (NO SITE)
903,316350,234670,BERESFORD PLACE*BACK GARDINER ST *BACKUP* (NO SITE)
904,313800,234400,PARKGATE STREET HEUSTON BRIDGE
913,316466,234717,AMIEN STREET *BACKUP STORE STREET *BACKUP(NO SITE)
918,315350,234400,CAPEL STREET BACKUP ABBEY STREET(NO SITE)
989,311400,232820,TYRCONNELL RD *BAK* DAVITT RD *BAK*(NO SITE)
994,,,ABBEY ST **BACKUP** JERVIS **BACKUP**(NO SITE)
998,315941,234530,ABBEY ST **BACKUP** O'CONNELL ST *BACKUP(NO SITE)
999,313800,234400,PARKGATE STREET HEUSTON BRIDGE(NO SITE)
1000,,,(NO SITE)
1001,319333,228934,KILMACUD RD. UPPER BLACKHORN AVE (OUT OF RANGE)
1002,313808,234320,HEUSTON ACCESS
1124,319791,228877,STILLORGAN MOUNT MERRION ROAD
1125,319684,229203,STILLORGAN ROAD BOOTERSTOWN AVE
1127,319741,229041,STILLORGAN ROAD THE RISE
1218,,,Monkstown Ring Rd/Deansgrange Rd
1383,320811,229363,MOUNT MERRION CROSS AVENUE
1389,321784,229205,BLACKROCK BY-PASS BARCLAY COURT
1390,322000,229014,NEWTOWN AVENUE TEMPLE HILL
1392,322025,229153,NEWTOWN AVENUE SEAPOINT AVENUE
1394,323913,228905,COAL QUAY BRIDGE
1501,324480,228731,MARINE ROAD
2001,,,
2009,,,ROAD2
2016,319882,228593,STILLORGAN ROAD TREES ROAD
2017,,,INTERSECTION 2017
2018,,,TULLAMORE
2019,,,TULLAMORE
2024,323866,226933,OUT OF RANGE
2031,321106,228863,OUT OF RANGE
2039,,,WATERFORD
2045,322145,228718,STRADBROOK NEWTOWNPARK AVE
2057,315528,240796,BALLYMUN RD STATOIL
2127,319472,229655,STILLORGAN ROAD FOSTERS AVE
4001,324175,240153,GRANGE ROAD WILLIE NOLAN ROAD
4002,324604,240392,WILLIE NOLAN ROAD MAIN STREET
4003,324688,240118,MAIN STREET DUBLIN STREET
4004,324624,240365,MAIN STREET PEDESTRIAN
4005,323656,240138,GRANGE ROAD GRANGE PARK
4010,318012,241517,M1 M50 N32
4011,315490,241388,BALLYMUN ROUNDABOUT (NOT ON MAP)
4012,312348,240719,FINGLAS ROUNDABOUT (NOT ON MAP)
4013,308994,238154,BLANCHARDSTOWN ROUNDABOUT M50(NOT ON MAP)
4014,309314,237904,AUBERN RD RNDBOUT N3
4015,308305,238488,SCOTTS RD RNDBOUT N3
4016,307588,235212,LUCAN ROUNDABOUT
4019,308821,231002,NAAS ROAD (RED COW) M50 (NOT ON MAP)
4020,311318,227963,TALLAGHT ROUNDABOUT (NOT ON MAP)
4021,308590,230922,NAAS ROAD MONASTERY
4022,308876,231021,NAAS ROAD BALLYMOUNT  TURNPIKE
4023,308761,230977,RED COW  CAR PARK ENTRANCE
4024,323606,227227,JOHNSTOWN ROAD MAPLE MANOR (NOT ON MAP)
4025,,,M1  Swords Road  Airport
4026,307605,235210,SANDYFORD ROTARY(NOT ON MAP)
4027,,,LEHAUNSTOWN WEST M50(NOT ON MAP)
4028,,,M50 LEHAUNSTOWN EAST(NOT ON MAP)
4029,316801,240010,SWORDS RD SANTRY AVE CHURCH LANE
4030,316843,240133,SWORDS RD COOLOCK LANE SANTRY DEMESNE
4031,317023,240087,COOLOCK LANE OAK PARK
4032,,,Swords Road  Airport Entrance
4033,,,Airport  Corballis Way  Cargo 2
4035,,,Airport  Hangar 5 Roundabout
4036,,,Navan Rd Bridge OOT
4037,,,Navan Rd Bridge ITT
4038,,,N2 / Charlestown
4040,,,Ballymun Rd @ IKEA
4045,,,Naul Rd @ NCT Centre
4047,,,Ballymun Rd @ M50 Slip Lane Peds
4048,308735,238455,N3 Interchange @ Total Fitness
4049,,,N3 Interchange @ Dunsink Lane
4050,,,N3 Interchange @ James Connolly Memorial Hospital
4051,,,N3 Ped between Auburn Ave & Railway Bridge
4052,,,Castleknock Rd/Chesterfield Avenue
4053,,,Castleknock Rd/Auburn Avenue
4054,,,Castleknock Rd/College Rd
4055,,,Castleknock Rd/Beechpark Rd
4056,,,Castleknock Rd/Park Lodge Rd
4057,,,Park Lodge Rd Castleknock Ave/Laurel Lodge Rd/Parklands
4058,,,Castleknock Rd/Roselawn Avenue
4059,,,Main St Blanch/Castleknock Rd (Bell Pub)
4060,,,Main St / River Rd
4061,,,Main St / Church Avenue
4062,,,Castelknock Rd @ Oak Lodge Pedestrian
4063,,,Castelknock Rd @ Chesterfiedl Ave Pedestrian
4101,,,WATERFORD
4102,,,WATERFORD
4103,,,WATERFORD
4104,,,WATERFORD
4105,,,WATERFORD
4106,,,WATERFORD
4107,,,WATERFORD
4108,,,WATERFORD
4109,,,WATERFORD
4110,,,WATERFORD
4111,,,WATERFORD
4112,,,WATERFORD
4113,,,WATERFORD
4114,,,WATERFORD
4115,,,WATERFORD
4116,,,WATERFORD
4117,,,WATERFORD
4118,,,WATERFORD
4119,,,WATERFORD
4120,,,WATERFORD
4121,,,WATERFORD
4122,,,WATERFORD
4123,,,WATERFORD
4124,,,WATERFORD
4125,,,WATERFORD
4126,,,WATERFORD
4127,,,WATERFORD
4128,,,WATERFORD
4129,,,null
4130,,,null
4131,,,null
5001,325848,221439,WICKLOW
5002,,,WICKLOW
5003,326363,220848,WICKLOW
5004,326393,220757,WICKLOW
5005,326378,220651,WICKLOW
5006,326272,220363,WICKLOW
5007,326424,220037,WICKLOW
5008,326651,219515,WICKLOW
5009,,,WICKLOW
5010,316900,233000,WICKLOW
5011,,,WICKLOW
5012,,,WICKLOW
6000,,,TEST 1  TEST 2
6001,,,Stillorgan Rd @ Trees Rd
6002,,,Stillorgan Rd @ Priory Drive(T123A)
6003,320545,229272,STILLORGAN ROAD BREWERY ROAD(NOT ON MAP)
6004,321727,228409,BRAY RD / N11 SPRINGFIELD(NOT ON MAP)
6006,321909,228333,STILLORGAN ROAD KILL LANE BRAY ROAD(NOT ON MAP)
6007,322060,228197,BRAY ROAD WESTMINSTER ROAD(NOT ON MAP)
6008,320380,227100,STILLORGAN RD STILLORGAN PARK(NOT ON MAP)
6009,322378,228015,MART LANE N11(NOT ON MAP)
6010,322909,227530,BRAY ROAD / N11 CLONKEEN ROAD(NOT ON MAP)
6011,323530,227060,STILLORGAN ROAD JOHNSTOWN ROAD /N11(NOT ON MAP)
6013,309250,233750,CABINTEELY VILLAGE OLD BRAY RD BRENNANSTOWN RD(NOT ON MAP)
6014,320620,227130,STILLORGAN ROAD GALLOPING GREEN PED(NOT ON MAP)
6015,,,Cornelscourt Link Road / N11
6016,,,Bray Rd/N11 @ Beech Park
6017,,,Bray Rd / N11 @ St Lawrences
6018,320484,229454,STILLORGAN RD ST JOHN OF GODS(NOT ON MAP)
6020,,,Frascati Rd@Georges Ave(P407)
6021,321199,229554,MOUNT MERRION AVE ROCK ROAD FRASCATI ROAD
6022,321281,229535,FRASCATI ROAD ROCK ROAD
6023,321459,229317,FRASCATI ROAD CARYSFORT AVENUE
6024,321785,229207,BLACKROCK BY-PASS BARCLAY COURT
6025,322005,229009,NEWTOWN AVE TEMPLE HILL
6026,322027,229155,NEWTOWN AVE SEAPOINT AVE
6027,322069,228885,MONKSTOWN BLACKROCK BYPASS
6028,322147,228721,STRADBROOK NEWTOWNPARK AVE
6029,319681,228590,DRUMMARTIN ROAD BLACKTHORN DRIVE(NOT ON MAP)
6030,320855,229837,BLACKROCK CLINIC ROCK ROAD
6031,320260,230250,BOOTERSTOWN ROCK ROAD
6032,319946,230554,ROCK ROAD TRIMLESTON AVENUE
6033,318781,229147,FOSTERS AVENUE ROEBUCK ROAD
6034,,,BLACKTHORN DRIVE BLACKTHORN ROAD BEACON COURT (OUT OF RANGE)
6035,,,BLACKTHORN DRIVE BLACKTHORN ROAD BEACON COURT (OUT OF RANGE)
6036,,,BLACKTHORN DRIVE CARMANHALL ROAD
6037,,,CARMANHALL ROAD BUS GATE
6038,,,Fosters Ave@North Ave(T180)
6039,318183,226473,Sandyford Road  Blackthorn Drive
6040,,,N11 Inbound  Wyattville Bridge
6041,,,Wyattville Bridge  East
6042,,,Wyattville Bridge  East
6043,,,Wyattville Road  Wyattville Close
6044,,,Wyattville Road  Loughlinstown Drive
6045,,,Wyattville Road  Old Wyattville Road
6046,,,Wyattville Rd @ Glenageary/Churchview Rd(T522)
6047,,,Wyattville Rd @ Glenageary/Church Rd(T114)
6049,,,Rochestown Av/Rochestown Pk/Granitfield(T517)
6051,,,Belfield Overbridge East Side(T510)
6052,,,Bakers Corner@ Abbey Rd/Pottery Rd(T115A)
6053,,,Rochestown Rd/Pottery Rd(T115B)
6054,,,Deansgrange Rd@Clonkeen Rd/(Foleys Cor)(T116)
6055,,,Nutgrove Ave/Meadow Park (Texas)(T365)
6056,,,Nutgrove Ave/Whitehall Rd(T340)
6057,,,Clonskeagh Rd@Beechhill(T366)
6058,,,Beechill Rd / Belfield Business Pk
6059,,,York Rd / Tivoli Rd (T396)
6060,,,Monkstown Ave/Monkstown Farm (Dcc 6060)(T578)
6061,,,Mount Merrion Ave/Cross Ave(T383)
6063,,,Kilmacud Rd Lwr/Old Stillorgan Rd(T129)
6067,,,Ballyogan Road @ Glencairn Cresent
6068,,,Ballyogan Road @ Glenbourne Road
6069,,,Ballyogan Road @ Ballyogan Ave West
6070,,,Ballyogan Road @ Ballyogan Ave East
6072,,,Ballyogan Road @ Ballyogan Wood
6073,,,Blackrock Main St@Carysfort Ave/Temple Rd(T388)
6074,,,Churchtown Rd Upr@Sweetmount(T540)
6075,,,Dundrum Rd@Taney Rd/Churchtown Rd Upr(T105)
6076,,,Dundrum By-Pass@Dundrum Village(T544)
6077,,,Sandyford Road/Wyckham By-Pass(T533)
6078,,,Sandyford Rd@Balally Drive
6079,,,Sandyford Rd@Balally Rd
6080,,,Sandyford Rd@Dun Emer Rd
6081,,,Sandyford Rd@ Balally Hill
6082,,,Sandyford Rd@Clonard Road(T508)
6084,,,Lambs Cross(Enniskerry Rd/Hillcrest)(T107)
6085,,,Drumartin Link@Kilmacud Road Upper(T557)
6086,,,Drumartin Link@Kilmacud Road Lower(T558)
6088,,,Goatstown Rd@Taney Rd (The Goat)(T130)
6092,,,Goatstown Rd@Roebuck Rd(T102)
6093,,,Clonskeagh Rd@Bird Ave(T103)
6094,,,Clonskeagh Rd@Wynnsward Drive(T320)
6095,,,Drummartin Link Rd@Blackthorn Ave Ext
6096,,,Blackthorn Ave Ext@Blackthorn Drive
6102,,,Monkstown Ring Road/Carysfort Ave(T511)
6103,,,Monkstown Ring Road@Newtownpark Ave
6104,,,Monkstown Ring Rd @ Deansgrange Rd
6105,,,Monkstown Ring Rd @ Rowanbyrn
6106,,,Monkstown Ring Rd @ Annanville Av
6110,,,Adelaide Rd @ Eden Rd (T503)
6111,,,Albert Rd/Hudson Rd@Elton Park(T504)
6112,,,Albert Road@The Metals(P538)
6113,,,Avondale Rd@Killiney S.C. R/A (Audio)(P534)
6114,,,Avondale Rd@St Josephs Of Cluny(P527)
6115,,,Ballinclea Rd@At Oakdene(P562)
6116,,,Ballinteer@Wyckham/Woodpark &The Heights(P523)
6117,,,Ballinteer Av@Grange Rd(Decomissioned)(T172)
6118,,,Ballinteer Ave@Spar Supermarket(P240)
6119,,,Ballinteer Avenue@Broadford Road(T543)
6120,,,Ballinteer Rd@Ballinteer Av(Decomissioned)(P257)
6121,,,Ballinteer Rd@Ballinteer Ave. Sth Of Rdb(P524)
6122,,,Ballinteer Rd@Ballinteer Ave/ Shop(P525)
6123,,,Ballinteer Rd@Barton Rd R/A(P246)
6124,,,Ballybrack Crossroads@Church Rd/Wyattville Rd(T506)
6125,,,Ballybrack Village Ped(P418)
6126,,,Ballyogan Rd@Kilgobbin Rd(T529)
6127,,,Ballyogan Rd@Entrance To Dunnes Stores(T573)
6128,,,Barton Rd East@Beaumont Ave(T349)
6129,,,Birches Lane@Birchfield Avenue(P557)
6130,,,Blackrock Main Street@Idrone Tce/Bath Place(T507)
6131,,,Blackthorn Ave@Luas Terminal(P567)
6132,,,Blackthorn Ave@Birch Ave.(T574)
6133,,,Blackthorn Avenue@West Luas Car Park(P580)
6134,,,Blackthorn Avenue@Burton Hall Road(T541)
6135,,,Blackthorn Rd@Blackthorn Ave/Thripple Ped(P544)
6136,,,Blackthorn Rd@St Raphaelas(P428)
6137,,,Blackthorn Road@Corrig Road(P579)
6138,,,Booterstown Ave@Cross Ave(T382)
6139,,,Booterstown Avenue@Rosemount(P571)
6140,,,Braemor Rd@Shopping Centre (P274)
6141,,,Braemor Rd@Braemor Park(T339)
6142,,,Braemor Rd/Landscape Ave(P275)
6143,,,Bray Rd@Glenageary D.C.(T111)
6144,,,Bray Rd@Cherrywood/Cherrywood Rd(T521)
6146,,,Brewery Rd@Leopardstown Avenue(T518)
6147,,,Brewery Road@Woodford(T539)
6148,,,Brighton Rd@Glenamuck Rd(T538)
6149,,,Broadford Rd@St Attractas`S School(P543)
6150,,,Broadford Rd@Scoil Nathi/Lleewellan(P545)
6151,,,Burton Hall Road@Blackthorn Rd(T400)
6152,,,Carmanhall Road@Arkle Road(P566)
6153,,,Carrickbrennan Road@Church(P561)
6154,,,Carysfort Ave@Convent Rd/Brookfield Ave(T512)
6155,,,Bray Rd@Cherrywood U-Turn(T523)
6156,,,Church Rd Phase 3@Arnold Park (Audio)(P532)
6157,,,Church Rd Phase 3@Opp Arnold Grove (Audio)(P531)
6158,,,Church Rd Phase 3@Glenageary Rd Upp R/A (Audio)(P530)
