Route,Link,Direction,TCS1,TCS2,WKT
28,1,2,3,2,LINESTRING(316534 234866 comma 316780 235268)
28,2,1,3,513,LINESTRING(316534 234866 comma 316481 234716)
28,2,2,513,3,LINESTRING(316481 234716 comma 316534 234866)
28,3,1,513,354,LINESTRING(316481 234716 comma 316434 234645)
28,3,2,354,513,LINESTRING(316434 234645 comma 316481 234716)
28,4,1,354,355,LINESTRING(316434 234645 comma 316468 234534)
28,4,2,355,354,LINESTRING(316468 234534 comma 316434 234645)
28,5,1,355,439,LINESTRING(316468 234534 comma 316672 234225)
28,5,2,439,355,LINESTRING(316672 234225 comma 316468 234534)
28,6,1,439,145,LINESTRING(316672 234225 comma 316812 234013)
28,6,2,145,439,LINESTRING(316812 234013 comma 316672 234225)
28,7,1,145,143,LINESTRING(316812 234013 comma 316942 233976)
28,7,2,143,145,LINESTRING(316942 233976 comma 316812 234013)
28,8,1,143,144,LINESTRING(316942 233976 comma 317203 233928)
28,8,2,144,143,LINESTRING(317203 233928 comma 316942 233976)
29,1,1,462,254,LINESTRING(317242 237030 comma 317167 233584)
29,1,2,254,462,LINESTRING(317167 233584 comma 317242 237030)
29,2,1,254,144,LINESTRING(317167 233584 comma 317203 233928)
29,2,2,144,254,LINESTRING(317203 233928 comma 317167 233584)
29,3,1,144,868,LINESTRING(317203 233928 comma  )
29,3,2,868,144,LINESTRING(  comma 317203 233928)
29,4,1,868,660,LINESTRING(  comma 317176 234470)
29,4,2,660,868,LINESTRING(317176 234470 comma  )
29,5,1,660,861,LINESTRING(317176 234470 comma  )
29,5,2,861,660,LINESTRING(  comma 317176 234470)
29,6,1,861,856,LINESTRING(  comma  )
29,6,2,856,861,LINESTRING(  comma  )
29,7,1,856,2,LINESTRING(  comma 316780 235268)
29,7,2,2,856,LINESTRING(316780 235268 comma  )
30,1,1,39,120,LINESTRING(316536 233743 comma 317241 233369)
30,1,2,120,39,LINESTRING(317241 233369 comma 316536 233743)
30,2,1,120,133,LINESTRING(317241 233369 comma 317412 233193)
30,2,2,133,120,LINESTRING(317412 233193 comma 317241 233369)
30,3,1,133,134,LINESTRING(317412 233193 comma 317596 232750)
30,3,2,134,133,LINESTRING(317596 232750 comma 317412 233193)
30,4,1,134,147,LINESTRING(317596 232750 comma 317831 232475)
30,4,2,147,134,LINESTRING(317831 232475 comma 317596 232750)
30,5,1,147,112,LINESTRING(317831 232475 comma 317927 232405)
30,5,2,112,147,LINESTRING(317927 232405 comma 317831 232475)
30,6,1,112,383,LINESTRING(317927 232405 comma 318173 232299)
30,6,2,383,112,LINESTRING(318173 232299 comma 317927 232405)
30,7,1,383,114,LINESTRING(318173 232299 comma 318348 232148)
30,7,2,114,383,LINESTRING(318348 232148 comma 318173 232299)
30,8,1,114,452,LINESTRING(318348 232148 comma 318536 231930)
30,8,2,452,114,LINESTRING(318536 231930 comma 318348 232148)
30,9,1,452,111,LINESTRING(318536 231930 comma 318941 231498)
30,9,2,111,452,LINESTRING(318941 231498 comma 318536 231930)
30,10,1,111,812,LINESTRING(318941 231498 comma 318942 231496)
30,10,2,812,111,LINESTRING(318942 231496 comma 318941 231498)
30,11,1,812,113,LINESTRING(318942 231496 comma 319177 231301)
30,11,2,113,812,LINESTRING(319177 231301 comma 318942 231496)
30,12,1,113,411,LINESTRING(319177 231301 comma 319377 231212)
30,12,2,411,113,LINESTRING(319377 231212 comma 319177 231301)
30,13,1,411,275,LINESTRING(319377 231212 comma 319454 231173)
30,13,2,275,411,LINESTRING(319454 231173 comma 319377 231212)
30,14,1,275,441,LINESTRING(319454 231173 comma 319658 231046)
30,14,2,441,275,LINESTRING(319658 231046 comma 319454 231173)
30,15,1,441,848,LINESTRING(319658 231046 comma 319809 230860)
30,15,2,848,441,LINESTRING(319809 230860 comma 319658 231046)
30,16,1,848,6032,LINESTRING(319809 230860 comma 319946 230554)
30,16,2,6032,848,LINESTRING(319946 230554 comma 319809 230860)
30,17,1,6032,6031,LINESTRING(319946 230554 comma 320260 230250)
30,17,2,6031,6032,LINESTRING(320260 230250 comma 319946 230554)
30,18,1,6031,6030,LINESTRING(320260 230250 comma 320855 229837)
30,18,2,6030,6031,LINESTRING(320855 229837 comma 320260 230250)
30,19,1,6030,6021,LINESTRING(320855 229837 comma 321199 229554)
30,19,2,6021,6030,LINESTRING(321199 229554 comma 320855 229837)
30,20,1,6021,6022,LINESTRING(321199 229554 comma 321281 229535)
30,20,2,6022,6021,LINESTRING(321281 229535 comma 321199 229554)
30,21,1,6022,6023,LINESTRING(321281 229535 comma 321459 229317)
30,21,2,6023,6022,LINESTRING(321459 229317 comma 321281 229535)
30,22,1,6023,6024,LINESTRING(321459 229317 comma 321785 229207)
30,22,2,6024,6023,LINESTRING(321785 229207 comma 321459 229317)
30,23,1,6024,6025,LINESTRING(321785 229207 comma 322005 229009)
30,23,2,6025,6024,LINESTRING(322005 229009 comma 321785 229207)
30,24,1,6025,6027,LINESTRING(322005 229009 comma 322069 228885)
30,24,2,6027,6025,LINESTRING(322069 228885 comma 322005 229009)
30,25,1,6027,6028,LINESTRING(322069 228885 comma 322147 228721)
30,25,2,6028,6027,LINESTRING(322147 228721 comma 322069 228885)
31,1,1,142,720,LINESTRING(315114 233450 comma 314966 233513)
31,1,2,720,142,LINESTRING(314966 233513 comma 315114 233450)
31,2,1,720,54,LINESTRING(314966 233513 comma 313882 232814)
31,2,2,54,720,LINESTRING(313882 232814 comma 314966 233513)
31,3,1,54,46,LINESTRING(313882 232814 comma 313416 232421)
31,3,2,46,54,LINESTRING(313416 232421 comma 313882 232814)
31,4,1,46,47,LINESTRING(313416 232421 comma 313442 232421)
31,4,2,47,46,LINESTRING(313442 232421 comma 313416 232421)
31,5,1,47,395,LINESTRING(313442 232421 comma 312261 231949)
31,5,2,395,47,LINESTRING(312261 231949 comma 313442 232421)
31,6,1,395,679,LINESTRING(312261 231949 comma 311508 231772)
31,6,2,679,395,LINESTRING(311508 231772 comma 312261 231949)
31,7,1,679,390,LINESTRING(311508 231772 comma 312171 231830)
31,7,2,390,679,LINESTRING(312171 231830 comma 311508 231772)
33,1,1,142,720,LINESTRING(315114 233450 comma 314966 233513)
33,1,2,720,142,LINESTRING(314966 233513 comma 315114 233450)
33,2,1,720,47,LINESTRING(314966 233513 comma 313442 232421)
33,2,2,47,720,LINESTRING(313442 232421 comma 314966 233513)
33,3,1,47,395,LINESTRING(313442 232421 comma 312261 231949)
33,3,2,395,47,LINESTRING(312261 231949 comma 313442 232421)
33,4,1,395,390,LINESTRING(312261 231949 comma 312171 231830)
33,4,2,390,395,LINESTRING(312171 231830 comma 312261 231949)
33,5,1,390,679,LINESTRING(312171 231830 comma 311508 231772)
33,5,2,679,390,LINESTRING(311508 231772 comma 312171 231830)
34,1,1,144,145,LINESTRING(317203 233928 comma 316812 234013)
34,1,2,145,144,LINESTRING(316812 234013 comma 317203 233928)
34,2,1,145,288,LINESTRING(316812 234013 comma 316429 234133)
34,2,2,288,145,LINESTRING(316429 234133 comma 316812 234013)
34,3,1,288,232,LINESTRING(316429 234133 comma 316095 234261)
34,3,2,232,288,LINESTRING(316095 234261 comma 316429 234133)
34,4,1,232,229,LINESTRING(316095 234261 comma 315975 234202)
34,4,2,229,232,LINESTRING(315975 234202 comma 316095 234261)
34,5,1,229,272,LINESTRING(315975 234202 comma 315856 234080)
34,5,2,272,229,LINESTRING(315856 234080 comma 315975 234202)
34,6,1,272,50,LINESTRING(315856 234080 comma 315752 234061)
34,6,2,50,272,LINESTRING(315752 234061 comma 315856 234080)
34,7,1,50,49,LINESTRING(315752 234061 comma 315640 234050)
34,7,2,49,50,LINESTRING(315640 234050 comma 315752 234061)
34,8,1,49,48,LINESTRING(315640 234050 comma 315440 234041)
34,8,2,48,49,LINESTRING(315440 234041 comma 315640 234050)
34,9,1,48,22,LINESTRING(315440 234041 comma 315324 233383)
34,9,2,22,48,LINESTRING(315324 233383 comma 315440 234041)
35,1,1,142,126,LINESTRING(315114 233450 comma 315128 233640)
35,1,2,126,142,LINESTRING(315128 233640 comma 315114 233450)
35,2,1,126,35,LINESTRING(315128 233640 comma 315143 233913)
35,2,2,35,126,LINESTRING(315143 233913 comma 315128 233640)
35,3,1,35,48,LINESTRING(315143 233913 comma 315440 234041)
35,3,2,48,35,LINESTRING(315440 234041 comma 315143 233913)
35,4,1,48,49,LINESTRING(315440 234041 comma 315640 234050)
35,4,2,49,48,LINESTRING(315640 234050 comma 315440 234041)
35,5,1,49,50,LINESTRING(315640 234050 comma 315752 234061)
35,5,2,50,49,LINESTRING(315752 234061 comma 315640 234050)
35,6,1,50,272,LINESTRING(315752 234061 comma 315856 234080)
35,6,2,272,50,LINESTRING(315856 234080 comma 315752 234061)
35,7,1,272,644,LINESTRING(315856 234080 comma 315957 234088)
35,7,2,644,272,LINESTRING(315957 234088 comma 315856 234080)
35,8,1,644,229,LINESTRING(315957 234088 comma 315975 234202)
35,8,2,229,644,LINESTRING(315975 234202 comma 315957 234088)
35,9,1,229,232,LINESTRING(315975 234202 comma 316095 234261)
35,9,2,232,229,LINESTRING(316095 234261 comma 315975 234202)
35,10,1,232,185,LINESTRING(316095 234261 comma 316233 234265)
35,10,2,185,232,LINESTRING(316233 234265 comma 316095 234261)
35,11,1,185,188,LINESTRING(316233 234265 comma 316431 234257)
35,11,2,188,185,LINESTRING(316431 234257 comma 316233 234265)
35,12,1,188,439,LINESTRING(316431 234257 comma 316672 234225)
35,12,2,439,188,LINESTRING(316672 234225 comma 316431 234257)
35,13,1,439,145,LINESTRING(316672 234225 comma 316812 234013)
35,13,2,145,439,LINESTRING(316812 234013 comma 316672 234225)
35,14,1,145,143,LINESTRING(316812 234013 comma 316942 233976)
35,14,2,143,145,LINESTRING(316942 233976 comma 316812 234013)
35,15,1,143,144,LINESTRING(316942 233976 comma 317203 233928)
35,15,2,144,143,LINESTRING(317203 233928 comma 316942 233976)
36,1,1,311,599,LINESTRING(313577 229282 comma  )
36,1,2,599,311,LINESTRING(  comma 313577 229282)
36,2,1,599,187,LINESTRING(  comma 314461 230214)
36,2,2,187,599,LINESTRING(314461 230214 comma  )
36,3,1,187,155,LINESTRING(314461 230214 comma 315050 230460)
36,3,2,155,187,LINESTRING(315050 230460 comma 314461 230214)
36,4,1,155,158,LINESTRING(315050 230460 comma 315604 231643)
36,4,2,158,155,LINESTRING(315604 231643 comma 315050 230460)
36,5,1,158,157,LINESTRING(315604 231643 comma 315667 232449)
36,5,2,157,158,LINESTRING(315667 232449 comma 315604 231643)
36,6,1,157,25,LINESTRING(315667 232449 comma 315636 232757)
36,6,2,25,157,LINESTRING(315636 232757 comma 315667 232449)
37,1,1,232,196,LINESTRING(316095 234261 comma 315977 234356)
37,1,2,196,232,LINESTRING(315977 234356 comma 316095 234261)
37,2,1,196,26,LINESTRING(315977 234356 comma 315385 234261)
37,2,2,26,196,LINESTRING(315385 234261 comma 315977 234356)
37,3,1,26,193,LINESTRING(315385 234261 comma 315127 234119)
37,3,2,193,26,LINESTRING(315127 234119 comma 315385 234261)
37,4,1,193,37,LINESTRING(315127 234119 comma 314871 234183)
37,4,2,37,193,LINESTRING(314871 234183 comma 315127 234119)
37,5,1,37,152,LINESTRING(314871 234183 comma 314568 234312)
37,5,2,152,37,LINESTRING(314568 234312 comma 314871 234183)
37,6,1,152,190,LINESTRING(314568 234312 comma 314328 234343)
37,6,2,190,152,LINESTRING(314328 234343 comma 314568 234312)
37,7,1,190,45,LINESTRING(314328 234343 comma 312711 234436)
37,7,2,45,190,LINESTRING(312711 234436 comma 314328 234343)
37,8,1,45,31,LINESTRING(312711 234436 comma 310414 234403)
37,8,2,31,45,LINESTRING(310414 234403 comma 312711 234436)
37,9,1,31,106,LINESTRING(310414 234403 comma 309748 234686)
37,9,2,106,31,LINESTRING(309748 234686 comma 310414 234403)
38,1,1,422,667,LINESTRING(313338 235944 comma 313159 236033)
38,1,2,667,422,LINESTRING(313159 236033 comma 313338 235944)
38,2,1,667,533,LINESTRING(313159 236033 comma 313104 236062)
38,2,2,533,667,LINESTRING(313104 236062 comma 313159 236033)
38,3,1,533,125,LINESTRING(313104 236062 comma 312666 236290)
38,3,2,125,533,LINESTRING(312666 236290 comma 313104 236062)
38,4,1,125,470,LINESTRING(312666 236290 comma 312009 236592)
38,4,2,470,125,LINESTRING(312009 236592 comma 312666 236290)
38,5,1,470,597,LINESTRING(312009 236592 comma 311577 236796)
38,5,2,597,470,LINESTRING(311577 236796 comma 312009 236592)
38,6,1,597,515,LINESTRING(311577 236796 comma 311296 236938)
38,6,2,515,597,LINESTRING(311296 236938 comma 311577 236796)
39,1,1,4014,4013,LINESTRING(309314 237904 comma 308994 238154)
39,1,2,4013,4014,LINESTRING(308994 238154 comma 309314 237904)
39,2,1,4013,4048,LINESTRING(308994 238154 comma 308735 238455)
39,2,2,4048,4013,LINESTRING(308735 238455 comma 308994 238154)
39,3,1,4048,4015,LINESTRING(308735 238455 comma 308305 238488)
39,3,2,4015,4048,LINESTRING(308305 238488 comma 308735 238455)
40,1,1,515,4014,LINESTRING(311296 236938 comma 309314 237904)
40,1,2,4014,515,LINESTRING(309314 237904 comma 311296 236938)
40,2,1,4014,4013,LINESTRING(309314 237904 comma 308994 238154)
40,2,2,4013,4014,LINESTRING(308994 238154 comma 309314 237904)
40,3,1,4013,4048,LINESTRING(308994 238154 comma 308735 238455)
40,3,2,4048,4013,LINESTRING(308735 238455 comma 308994 238154)
40,4,1,4048,4015,LINESTRING(308735 238455 comma 308305 238488)
40,4,2,4015,4048,LINESTRING(308305 238488 comma 308735 238455)
41,1,1,56,60,LINESTRING(315346 235016 comma 315435 235165)
41,1,2,60,56,LINESTRING(315435 235165 comma 315346 235016)
41,2,1,60,58,LINESTRING(315435 235165 comma 315543 235366)
41,2,2,58,60,LINESTRING(315543 235366 comma 315435 235165)
41,3,1,58,59,LINESTRING(315543 235366 comma 315742 235708)
41,3,2,59,58,LINESTRING(315742 235708 comma 315543 235366)
41,4,1,59,61,LINESTRING(315742 235708 comma 315794 235793)
41,4,2,61,59,LINESTRING(315794 235793 comma 315742 235708)
41,5,1,61,55,LINESTRING(315794 235793 comma 315847 235886)
41,5,2,55,61,LINESTRING(315847 235886 comma 315794 235793)
41,6,1,55,67,LINESTRING(315847 235886 comma 315906 236017)
41,6,2,67,55,LINESTRING(315906 236017 comma 315847 235886)
41,7,1,67,63,LINESTRING(315906 236017 comma 315995 236194)
41,7,2,63,67,LINESTRING(315995 236194 comma 315906 236017)
42,1,1,149,148,LINESTRING(315022 235883 comma 315022 236073)
42,1,2,148,149,LINESTRING(315022 236073 comma 315022 235883)
42,2,1,148,150,LINESTRING(315022 236073 comma 315071 236318)
42,2,2,150,148,LINESTRING(315071 236318 comma 315022 236073)
42,3,1,150,405,LINESTRING(315071 236318 comma 315080 236620)
42,3,2,405,150,LINESTRING(315080 236620 comma 315071 236318)
43,1,1,108,73,LINESTRING(318071 236774 comma 317980 236330)
43,1,2,73,108,LINESTRING(317980 236330 comma 318071 236774)
43,2,1,73,72,LINESTRING(317980 236330 comma 317437 236152)
43,2,2,72,73,LINESTRING(317437 236152 comma 317980 236330)
43,3,1,72,132,LINESTRING(317437 236152 comma 317281 235971)
43,3,2,132,72,LINESTRING(317281 235971 comma 317437 236152)
44,1,1,456,110,LINESTRING(320164 239434 comma 320164 239435)
44,1,2,110,456,LINESTRING(320164 239435 comma 320164 239434)
45,1,1,586,107,LINESTRING(318845 237852 comma 318585 237611)
45,1,2,107,586,LINESTRING(318585 237611 comma 318845 237852)
46,1,1,456,110,LINESTRING(320164 239434 comma 320164 239435)
46,1,2,110,456,LINESTRING(320164 239435 comma 320164 239434)
46,2,1,110,109,LINESTRING(320164 239435 comma 319163 238123)
46,2,2,109,110,LINESTRING(319163 238123 comma 320164 239435)
46,3,1,109,331,LINESTRING(319163 238123 comma 318973 237942)
46,3,2,331,109,LINESTRING(318973 237942 comma 319163 238123)
46,4,1,331,586,LINESTRING(318973 237942 comma 318845 237852)
46,4,2,586,331,LINESTRING(318845 237852 comma 318973 237942)
46,5,1,586,107,LINESTRING(318845 237852 comma 318585 237611)
46,5,2,107,586,LINESTRING(318585 237611 comma 318845 237852)
46,6,1,107,701,LINESTRING(318585 237611 comma 318341 237239)
46,6,2,701,107,LINESTRING(318341 237239 comma 318585 237611)
46,7,1,701,108,LINESTRING(318341 237239 comma 318071 236774)
46,7,2,108,701,LINESTRING(318071 236774 comma 318341 237239)
46,8,1,108,73,LINESTRING(318071 236774 comma 317980 236330)
46,8,2,73,108,LINESTRING(317980 236330 comma 318071 236774)
46,9,1,73,72,LINESTRING(317980 236330 comma 317437 236152)
46,9,2,72,73,LINESTRING(317437 236152 comma 317980 236330)
46,10,1,72,132,LINESTRING(317437 236152 comma 317281 235971)
46,10,2,132,72,LINESTRING(317281 235971 comma 317437 236152)
47,1,1,727,797,LINESTRING(321145 240750 comma 321108 240694)
47,1,2,797,727,LINESTRING(321108 240694 comma 321145 240750)
47,2,1,797,456,LINESTRING(321108 240694 comma 320164 239434)
47,2,2,456,797,LINESTRING(320164 239434 comma 321108 240694)
47,3,1,456,110,LINESTRING(320164 239434 comma 320164 239435)
47,3,2,110,456,LINESTRING(320164 239435 comma 320164 239434)
47,4,1,110,109,LINESTRING(320164 239435 comma 319163 238123)
47,4,2,109,110,LINESTRING(319163 238123 comma 320164 239435)
47,5,1,109,331,LINESTRING(319163 238123 comma 318973 237942)
47,5,2,331,109,LINESTRING(318973 237942 comma 319163 238123)
47,6,1,331,586,LINESTRING(318973 237942 comma 318845 237852)
47,6,2,586,331,LINESTRING(318845 237852 comma 318973 237942)
47,7,1,586,107,LINESTRING(318845 237852 comma 318585 237611)
47,7,2,107,586,LINESTRING(318585 237611 comma 318845 237852)
47,8,1,107,701,LINESTRING(318585 237611 comma 318341 237239)
47,8,2,701,107,LINESTRING(318341 237239 comma 318585 237611)
47,9,1,701,108,LINESTRING(318341 237239 comma 318071 236774)
47,9,2,108,701,LINESTRING(318071 236774 comma 318341 237239)
47,10,1,108,73,LINESTRING(318071 236774 comma 317980 236330)
47,10,2,73,108,LINESTRING(317980 236330 comma 318071 236774)
47,11,1,73,72,LINESTRING(317980 236330 comma 317437 236152)
47,11,2,72,73,LINESTRING(317437 236152 comma 317980 236330)
47,12,1,72,132,LINESTRING(317437 236152 comma 317281 235971)
47,12,2,132,72,LINESTRING(317281 235971 comma 317437 236152)
47,13,1,132,194,LINESTRING(317281 235971 comma 317205 235793)
47,13,2,194,132,LINESTRING(317205 235793 comma 317281 235971)
47,14,1,194,282,LINESTRING(317205 235793 comma 316965 235479)
47,14,2,282,194,LINESTRING(316965 235479 comma 317205 235793)
47,15,1,282,2,LINESTRING(316965 235479 comma 316780 235268)
47,15,2,2,282,LINESTRING(316780 235268 comma 316965 235479)
47,16,1,2,3,LINESTRING(316780 235268 comma 316534 234866)
47,16,2,3,2,LINESTRING(316534 234866 comma 316780 235268)
47,17,1,3,513,LINESTRING(316534 234866 comma 316481 234716)
47,17,2,513,3,LINESTRING(316481 234716 comma 316534 234866)
