Route,Link,Direction,TCS1,TCS2,WKT
7,7,2,55,67,LINESTRING(315847 235886 comma 315906 236017)
7,8,1,55,61,LINESTRING(315847 235886 comma 315794 235793)
7,8,2,61,55,LINESTRING(315794 235793 comma 315847 235886)
7,9,1,61,59,LINESTRING(315794 235793 comma 315742 235708)
7,9,2,59,61,LINESTRING(315742 235708 comma 315794 235793)
7,10,1,59,76,LINESTRING(315742 235708 comma 315942 235462)
7,10,2,76,59,LINESTRING(315942 235462 comma 315742 235708)
7,11,1,76,141,LINESTRING(315942 235462 comma 316094 235182)
7,11,2,141,76,LINESTRING(316094 235182 comma 315942 235462)
7,12,1,141,166,LINESTRING(316094 235182 comma 316154 235049)
7,12,2,166,141,LINESTRING(316154 235049 comma 316094 235182)
7,13,1,166,182,LINESTRING(316154 235049 comma 316274 234795)
7,13,2,182,166,LINESTRING(316274 234795 comma 316154 235049)
7,14,1,182,403,LINESTRING(316274 234795 comma 316330 234666)
7,14,2,403,182,LINESTRING(316330 234666 comma 316274 234795)
8,1,1,81,38,LINESTRING(314930 232419 comma 314945 232709)
8,1,2,38,81,LINESTRING(314945 232709 comma 314930 232419)
8,2,1,38,142,LINESTRING(314945 232709 comma 315114 233450)
8,2,2,142,38,LINESTRING(315114 233450 comma 314945 232709)
8,3,1,142,126,LINESTRING(315114 233450 comma 315128 233640)
8,3,2,126,142,LINESTRING(315128 233640 comma 315114 233450)
8,4,1,126,35,LINESTRING(315128 233640 comma 315143 233913)
8,4,2,35,126,LINESTRING(315143 233913 comma 315128 233640)
8,5,1,35,193,LINESTRING(315143 233913 comma 315127 234119)
8,5,2,193,35,LINESTRING(315127 234119 comma 315143 233913)
9,1,1,69,494,LINESTRING(323625 238774 comma 323175 238485)
9,1,2,494,69,LINESTRING(323175 238485 comma 323625 238774)
9,2,1,494,90,LINESTRING(323175 238485 comma 322202 237531)
9,2,2,90,494,LINESTRING(322202 237531 comma 323175 238485)
9,3,1,90,630,LINESTRING(322202 237531 comma 321693 236747)
9,3,2,630,90,LINESTRING(321693 236747 comma 322202 237531)
9,4,1,630,223,LINESTRING(321693 236747 comma 321057 236039)
9,4,2,223,630,LINESTRING(321057 236039 comma 321693 236747)
9,5,1,223,506,LINESTRING(321057 236039 comma 320154 235817)
9,5,2,506,223,LINESTRING(320154 235817 comma 321057 236039)
9,6,1,506,41,LINESTRING(320154 235817 comma 319249 235932)
9,6,2,41,506,LINESTRING(319249 235932 comma 320154 235817)
9,7,1,41,655,LINESTRING(319249 235932 comma 318899 236017)
9,7,2,655,41,LINESTRING(318899 236017 comma 319249 235932)
9,8,1,655,443,LINESTRING(318899 236017 comma 318396 236230)
9,8,2,443,655,LINESTRING(318396 236230 comma 318899 236017)
9,9,1,443,73,LINESTRING(318396 236230 comma 317980 236330)
9,9,2,73,443,LINESTRING(317980 236330 comma 318396 236230)
9,10,1,73,72,LINESTRING(317980 236330 comma 317437 236152)
9,10,2,72,73,LINESTRING(317437 236152 comma 317980 236330)
9,11,1,72,194,LINESTRING(317437 236152 comma 317205 235793)
9,11,2,194,72,LINESTRING(317205 235793 comma 317437 236152)
9,12,1,194,282,LINESTRING(317205 235793 comma 316965 235479)
9,12,2,282,194,LINESTRING(316965 235479 comma 317205 235793)
9,13,1,282,2,LINESTRING(316965 235479 comma 316780 235268)
9,13,2,2,282,LINESTRING(316780 235268 comma 316965 235479)
9,14,1,2,3,LINESTRING(316780 235268 comma 316534 234866)
9,14,2,3,2,LINESTRING(316534 234866 comma 316780 235268)
10,1,1,124,410,LINESTRING(310474 231997 comma 310306 231917)
10,1,2,410,124,LINESTRING(310306 231917 comma 310474 231997)
10,2,1,410,487,LINESTRING(310306 231917 comma 311035 232252)
10,2,2,487,410,LINESTRING(311035 232252 comma 310306 231917)
10,3,1,487,189,LINESTRING(311035 232252 comma 311392 232827)
10,3,2,189,487,LINESTRING(311392 232827 comma 311035 232252)
10,4,1,189,71,LINESTRING(311392 232827 comma 311888 233439)
10,4,2,71,189,LINESTRING(311888 233439 comma 311392 232827)
10,5,1,71,372,LINESTRING(311888 233439 comma 311991 233668)
10,5,2,372,71,LINESTRING(311991 233668 comma 311888 233439)
10,6,1,372,42,LINESTRING(311991 233668 comma 312150 233820)
10,6,2,42,372,LINESTRING(312150 233820 comma 311991 233668)
10,7,1,42,172,LINESTRING(312150 233820 comma 312752 233912)
10,7,2,172,42,LINESTRING(312752 233912 comma 312150 233820)
10,8,1,172,370,LINESTRING(312752 233912 comma 313824 234220)
10,8,2,370,172,LINESTRING(313824 234220 comma 312752 233912)
11,1,1,130,5,LINESTRING(313378 234887 comma 313737 235301)
11,1,2,5,130,LINESTRING(313737 235301 comma 313378 234887)
11,2,1,5,151,LINESTRING(313737 235301 comma 313993 235469)
11,2,2,151,5,LINESTRING(313993 235469 comma 313737 235301)
11,3,1,151,127,LINESTRING(313993 235469 comma 314842 235872)
11,3,2,127,151,LINESTRING(314842 235872 comma 313993 235469)
11,4,1,127,149,LINESTRING(314842 235872 comma 315022 235883)
11,4,2,149,127,LINESTRING(315022 235883 comma 314842 235872)
11,5,1,149,61,LINESTRING(315022 235883 comma 315794 235793)
11,5,2,61,149,LINESTRING(315794 235793 comma 315022 235883)
12,1,1,832,9,LINESTRING(317085 236107 comma 317019 235993)
12,1,2,9,832,LINESTRING(317019 235993 comma 317085 236107)
12,2,1,9,178,LINESTRING(317019 235993 comma 316554 235506)
12,2,2,178,9,LINESTRING(316554 235506 comma 317019 235993)
12,3,1,178,141,LINESTRING(316554 235506 comma 316094 235182)
12,3,2,141,178,LINESTRING(316094 235182 comma 316554 235506)
13,1,1,494,88,LINESTRING(323175 238485 comma 321501 238219)
13,1,2,88,494,LINESTRING(321501 238219 comma 323175 238485)
13,2,1,88,86,LINESTRING(321501 238219 comma 320216 237636)
13,2,2,86,88,LINESTRING(320216 237636 comma 321501 238219)
13,3,1,86,531,LINESTRING(320216 237636 comma 319678 237160)
13,3,2,531,86,LINESTRING(319678 237160 comma 320216 237636)
13,4,1,531,492,LINESTRING(319678 237160 comma 318961 236743)
13,4,2,492,531,LINESTRING(318961 236743 comma 319678 237160)
13,5,1,492,87,LINESTRING(318961 236743 comma 318293 236545)
13,5,2,87,492,LINESTRING(318293 236545 comma 318961 236743)
13,6,1,87,73,LINESTRING(318293 236545 comma 317980 236330)
13,6,2,73,87,LINESTRING(317980 236330 comma 318293 236545)
14,1,1,727,797,LINESTRING(321145 240750 comma 321108 240694)
14,1,2,797,727,LINESTRING(321108 240694 comma 321145 240750)
14,2,1,797,456,LINESTRING(321108 240694 comma 320164 239434)
14,2,2,456,797,LINESTRING(320164 239434 comma 321108 240694)
14,3,1,456,110,LINESTRING(320164 239434 comma 320164 239435)
14,3,2,110,456,LINESTRING(320164 239435 comma 320164 239434)
14,4,1,110,109,LINESTRING(320164 239435 comma 319163 238123)
14,4,2,109,110,LINESTRING(319163 238123 comma 320164 239435)
14,5,1,109,331,LINESTRING(319163 238123 comma 318973 237942)
14,5,2,331,109,LINESTRING(318973 237942 comma 319163 238123)
14,6,1,331,586,LINESTRING(318973 237942 comma 318845 237852)
14,6,2,586,331,LINESTRING(318845 237852 comma 318973 237942)
14,7,1,586,107,LINESTRING(318845 237852 comma 318585 237611)
14,7,2,107,586,LINESTRING(318585 237611 comma 318845 237852)
14,8,1,107,701,LINESTRING(318585 237611 comma 318341 237239)
14,8,2,701,107,LINESTRING(318341 237239 comma 318585 237611)
14,9,1,701,108,LINESTRING(318341 237239 comma 318071 236774)
14,9,2,108,701,LINESTRING(318071 236774 comma 318341 237239)
14,10,1,108,73,LINESTRING(318071 236774 comma 317980 236330)
14,10,2,73,108,LINESTRING(317980 236330 comma 318071 236774)
15,1,1,394,187,LINESTRING(314450 229898 comma 314461 230214)
15,1,2,187,394,LINESTRING(314461 230214 comma 314450 229898)
15,2,1,187,84,LINESTRING(314461 230214 comma 314723 231167)
15,2,2,84,187,LINESTRING(314723 231167 comma 314461 230214)
15,3,1,84,82,LINESTRING(314723 231167 comma 314744 231333)
15,3,2,82,84,LINESTRING(314744 231333 comma 314723 231167)
15,4,1,82,83,LINESTRING(314744 231333 comma 314751 232000)
15,4,2,83,82,LINESTRING(314751 232000 comma 314744 231333)
15,5,1,83,81,LINESTRING(314751 232000 comma 314930 232419)
15,5,2,81,83,LINESTRING(314930 232419 comma 314751 232000)
15,6,1,81,38,LINESTRING(314930 232419 comma 314945 232709)
15,6,2,38,81,LINESTRING(314945 232709 comma 314930 232419)
15,7,1,38,142,LINESTRING(314945 232709 comma 315114 233450)
15,7,2,142,38,LINESTRING(315114 233450 comma 314945 232709)
15,8,1,142,126,LINESTRING(315114 233450 comma 315128 233640)
15,8,2,126,142,LINESTRING(315128 233640 comma 315114 233450)
15,9,1,126,35,LINESTRING(315128 233640 comma 315143 233913)
15,9,2,35,126,LINESTRING(315143 233913 comma 315128 233640)
15,10,1,35,48,LINESTRING(315143 233913 comma 315440 234041)
15,10,2,48,35,LINESTRING(315440 234041 comma 315143 233913)
15,11,1,48,49,LINESTRING(315440 234041 comma 315640 234050)
15,11,2,49,48,LINESTRING(315640 234050 comma 315440 234041)
15,12,1,49,272,LINESTRING(315640 234050 comma 315856 234080)
15,12,2,272,49,LINESTRING(315856 234080 comma 315640 234050)
16,1,1,24,192,LINESTRING(315626 232879 comma 315558 233317)
16,1,2,192,24,LINESTRING(315558 233317 comma 315626 232879)
16,2,1,192,622,LINESTRING(315558 233317 comma 315560 233662)
16,2,2,622,192,LINESTRING(315560 233662 comma 315558 233317)
16,3,1,622,173,LINESTRING(315560 233662 comma 315575 233745)
16,3,2,173,622,LINESTRING(315575 233745 comma 315560 233662)
16,4,1,173,305,LINESTRING(315575 233745 comma 315632 233928)
16,4,2,305,173,LINESTRING(315632 233928 comma 315575 233745)
16,5,1,305,49,LINESTRING(315632 233928 comma 315640 234050)
16,5,2,49,305,LINESTRING(315640 234050 comma 315632 233928)
16,6,1,49,50,LINESTRING(315640 234050 comma 315752 234061)
16,6,2,50,49,LINESTRING(315752 234061 comma 315640 234050)
16,7,1,50,272,LINESTRING(315752 234061 comma 315856 234080)
16,7,2,272,50,LINESTRING(315856 234080 comma 315752 234061)
17,1,1,190,761,LINESTRING(314328 234343 comma 314434 234331)
17,1,2,761,190,LINESTRING(314434 234331 comma 314328 234343)
17,2,1,761,152,LINESTRING(314434 234331 comma 314568 234312)
17,2,2,152,761,LINESTRING(314568 234312 comma 314434 234331)
